#OK
#SQL=     
#	 SELECT          
#	     gal.GalaxyID as id,
#	     (mag.u_nodust - mag.g_nodust) as ug,
#	     (mag.g_nodust - mag.i_nodust) as gi
#	 FROM   
#	     RefL0100N1504_SubHalo as gal,  
#	     RefL0100N1504_Magnitudes as mag,  
#	     RefL0100N1504_Aperture as ape  
#	 WHERE    
#	     gal.SnapNum = 27 and        
#	     ape.Mass_Star > 1e10 and    
#	     ape.ApertureSize = 30 and   
#	
#	     gal.GalaxyID = mag.GalaxyID and  
#	     gal.GalaxyID = ape.GalaxyID
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 2662 millisec
#COLUMN 1 name=id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=ug JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=gi JDBC_TYPE=7 JDBC_TYPENAME=real
id,ug,gi
2,1.6736984,1.1341362
13632,1.7026405,1.1438236
21794,1.6732197,1.1291733
24478,1.5985088,1.0851269
26264,1.7725868,1.197298
29818,1.5296326,1.0487137
30903,1.5329647,1.048172
32367,1.3578243,0.9462681
33116,1.5857849,1.0469589
35658,1.6512947,1.1129322
36469,1.6167202,1.0954494
37177,1.6648064,1.1273079
37879,1.6915512,1.1412945
38952,1.6232567,1.1000996
40905,1.5898151,1.0665627
42234,1.1713352,0.8638134
43262,1.7218075,1.1624012
44049,1.6220932,1.1018009
44842,1.6217518,1.1026764
48442,1.6601448,1.1249542
50759,0.85562325,0.7041931
52523,1.3603611,0.96009636
54528,1.626461,1.1019154
56966,1.6602039,1.114193
57962,1.6442528,1.1026001
64010,1.6491642,1.1209717
68767,1.697195,1.1557674
122971,1.7346916,1.1649342
130678,1.7410984,1.1738129
132809,1.22015,0.9152584
137389,1.6064854,1.0737095
138873,1.5511208,1.0177269
139400,1.0553684,0.7758179
141999,1.390007,0.98631287
142886,1.6151829,1.0979233
156798,1.6705894,1.1130085
160527,1.6517239,1.0998096
168530,1.6376209,1.1037273
169859,1.6323833,1.0814857
180003,1.608223,1.0746613
217859,1.6620865,1.1296711
222320,1.212431,0.91983604
1049778,1.6734924,1.1041164
1053070,1.0495186,0.774971
1376784,1.2953663,0.9509182
1390573,1.5835705,1.0496674
1393940,1.6288376,1.100193
1399923,1.0833435,0.68055916
1406432,0.8232899,0.63160515
1407376,1.0425777,0.77598953
1416533,1.0911331,0.82782745
1422232,1.2068462,0.88376236
1427448,0.92014503,0.6903
1703010,0.9343052,0.6969433
1718561,1.3971004,0.92507935
1732243,0.9874077,0.69719696
1740037,1.0879536,0.8258457
1760771,1.2429752,0.9297085
1774857,1.2306709,0.88754463
1776127,1.1696091,0.8768177
2412731,0.81487846,0.56648064
2421203,0.91075134,0.6657219
2424089,0.84542465,0.5541687
2425267,1.0753479,0.81616974
2430739,1.6241684,1.0849457
2446634,0.8477421,0.56342316
2486315,0.80259705,0.4691391
2506302,1.0633926,0.80999374
2513876,1.2527008,0.8930073
2531700,0.876421,0.6369858
2533443,0.8312912,0.5502472
2536262,0.79686165,0.53842163
2566863,0.843565,0.5484886
2570871,1.0270348,0.71391296
2596042,0.85868835,0.5830021
2599936,0.8523483,0.5980854
2914906,0.75642014,0.4673462
2958110,0.9266796,0.6125946
2965595,1.6802998,1.1275272
2979099,0.8673649,0.56830025
4456330,1.3428288,0.9681511
4470670,1.2896824,0.92526436
4471814,1.6403351,1.1046734
4475268,0.88995934,0.6076565
4475900,1.6802845,1.1223106
4477698,1.2750645,0.8965187
4480429,1.6398697,1.1046143
4481515,1.6500931,1.1099072
4481851,1.6504498,1.1157932
4513779,1.6618938,1.125782
4518274,1.6660137,1.1186771
4521742,1.6447563,1.1131802
4522287,1.2028065,0.8941307
4527383,1.6514034,1.1184597
5338601,1.6490288,1.104393
5339301,1.6255703,1.101881
5346019,1.6634464,1.1267471
5347071,1.679636,1.1344967
5348717,1.5776768,1.06316
5368984,1.6213627,1.0721798
241396,1.6476612,1.0993748
244671,1.1852226,0.86693764
246135,1.6317234,1.1087284
247998,1.2837238,0.97118187
592033,1.632679,1.0799046
608838,1.3732548,1.0197258
615891,1.0585556,0.7741337
636523,1.6146603,1.0812683
641392,1.4380245,1.0223904
966292,1.67416,1.113697
1008743,0.98526955,0.74100876
1012225,1.3460884,0.95516205
1021936,0.9866009,0.7265663
1028772,1.636385,1.0856609
