#OK
#SQL= SELECT              
#	         gal.GalaxyID          as id,    
#	         gal.HalfMassRad_Star  as half_mass_r,    
#	         gal.MassType_Star     as mass,    
#	         gal.StarFormationRate as sfr,  
#	         gal.SubGroupNumber    as subgroup_number  
#	     FROM       
#	         RefL0100N1504_SubHalo as gal      
#	     WHERE        
#	         gal.Snapnum = 27
#	     AND
#	         gal.StarFormationRate > 0
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 23 millisec
#COLUMN 1 name=id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=half_mass_r JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=sfr JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=subgroup_number JDBC_TYPE=4 JDBC_TYPENAME=int
id,half_mass_r,mass,sfr,subgroup_number
29818,4.2883463,2.55980257E10,0.11599374,34
32367,3.4687521,2.03856732E10,0.26743457,34
38548,3.6559558,8.8154143E9,0.12788917,47
41635,2.3099668,8.5269796E9,0.07042402,49
42234,3.5154693,2.12111053E10,0.7066836,28
46460,4.731936,6.8299715E9,0.24502386,47
47680,6.167443,5.2004808E9,0.24698445,42
48093,3.3797843,4.0508032E9,0.23861396,39
49479,4.3866286,3.96642586E9,0.064871535,1
49829,3.83159,2.83248333E9,0.19767572,68
50759,4.4790277,3.15643003E10,2.389063,27
51988,4.78996,6.7125212E9,0.27425945,58
52523,6.4825106,1.10150492E10,0.1334417,60
53604,4.9370117,5.8730634E9,0.61291695,0
55734,4.0380583,3.49054566E9,0.21228366,80
60284,6.065021,3.63120614E9,0.7756389,67
62449,3.6402593,1.4967863E9,0.080308884,0
62813,2.6057854,9.7938272E8,0.07421179,0
63431,3.891158,3.60049459E9,0.20325972,52
64560,3.2897775,2.40940723E9,0.031586792,65
66177,3.9414833,7.3990277E9,0.012944413,73
69313,4.5729613,2.64899302E9,0.07127996,0
69844,4.169077,3.16590822E9,0.17939995,56
70843,4.5963697,2.36003789E9,0.1732037,0
71505,3.0311148,1.01924659E9,0.013454264,0
73830,4.1360297,2.65231642E9,0.10695658,2
74035,3.3361206,1.67908493E9,0.25107473,67
75815,3.998239,2.12438861E9,0.101631045,53
76614,3.4049096,1.64205645E9,0.111349456,91
77232,4.3160734,3.28594406E9,0.18920119,1
81235,5.007279,4.3740913E9,0.12334678,86
81477,2.8866036,9.5002586E8,0.10289675,104
82601,7.788444,9.9457649E9,0.40971586,1
84718,2.8937016,9.9222272E8,0.0128704915,96
88794,3.8111963,8.8240557E8,0.31354234,98
89879,2.5542715,1.78590704E8,0.015716877,1
91672,4.9593534,2.27414528E9,0.43995416,0
91837,1.2756858,1236521.8,0.037776228,4
92982,2.6715827,1.94230496E8,0.0039023412,0
93437,3.9881692,9.1927405E8,0.0020349962,3
95942,3.7734394,1.17646566E9,0.09431562,92
98327,3.3672123,8.0240717E8,0.024770832,118
99925,4.6062064,5.1789616E8,6.5142754E-4,165
110055,2.8314028,4.26906112E8,0.013834063,0
112176,3.6567376,9.3508237E8,0.015934171,112
115093,3.76995,3.9861408E8,0.0021953902,0
132809,5.213315,5.507215E10,1.2469146,16
136322,5.807325,1.40351181E10,0.24967183,70
139400,6.29805,1.07252419E10,0.5413767,86
141999,6.126278,1.62003313E10,0.18037185,83
143805,4.160692,8.0284815E9,0.3200246,107
145603,3.2884429,5.3142576E8,0.06741364,19
146323,4.1019006,4.83638048E8,0.10253188,16
147614,4.810159,1.7803686E7,0.0016119761,0
148139,5.148724,2.57348019E9,0.23705274,1
148479,3.1843278,1.23102886E9,0.011289771,0
148735,4.944221,2.81040026E9,0.4397008,2
149003,0.7671917,2.2267588E7,0.0024745143,363
149094,3.0901642,1.70005875E9,0.09440623,2
149481,3.3629754,1.11514598E9,0.088474736,1
149701,5.3895593,5.9299011E9,0.24129039,2
